sno,label
704168,0
706426,1
709287,1
718641,0
721482,0
730881,1
733639,0
733823,1
740492,0
743348,0
752904,1
756136,0
760001,1
760239,1
76389,1
764974,0
770066,0
785208,1
785615,1
792744,0
797327,1
798429,0
806423,1
809912,1
810104,0
814265,0
814911,0
822829,1
826923,0
830690,0
831268,0
832226,1
832567,1
836433,0
837082,0
846832,0
850831,1
855524,0
857774,0
859164,1
859350,1
866325,1
873549,1
877291,1
877943,1
888169,0
888523,0
896404,0
897172,0
95719,1
160296,1
342245,0
428598,0
492561,0
493452,0
521441,0
636437,0
640712,0
654244,0
657753,0
685977,0
805448,0
846423,1
1002504,0
1022257,0
1026122,0
1071084,0
1080233,1
1114570,0
1116715,0
1131411,0
1151734,1
1156017,0
1158405,0
1168278,0
1176187,0
1196263,0
1196475,0
1206314,0
1211265,1
1213784,0
1223003,0
1223306,0
1223543,0
1229929,0
1231853,0
1234554,0
1236837,0
1237674,0
1238021,0
1238464,0
1238633,1
1238915,0
1238948,1
1239232,0
1239347,1
1239967,0
1240337,0
1253505,0
1255384,0
1257200,1
1257648,0
1257815,0
1257938,0
1258549,1
1258556,0
1266154,1
1272039,0
1277629,0
1293439,0
1294562,1
1295186,1
527337,0
558538,0
566509,0
608157,1
677910,0
734111,0
780555,0
827627,0
1049837,0
1058849,0
1193544,1
1201870,0
1202253,0
1227081,0
1230994,1
1238410,0
1246562,1
1257470,1
1259008,1
1266124,0
1267898,0
1268313,0
1268804,0
1280258,0
1293966,0
1296572,1
1298416,1
1299596,1
1181685,0
1211594,0
1238777,0
1257608,0
1269574,0
1277145,0
1287282,0
1296025,0
1296263,0
1296593,0
1299161,1
1301945,0
1302428,0
1318169,1
474162,1
787451,0
1002025,0
1070522,0
1073960,1
1076352,1
1084139,1
1119189,1
1133991,0
1142706,1
1155967,0
1170945,0
1181567,0
1204558,0
1217952,0
1224565,0
1238186,0
1253917,0
1265899,0
1268766,0
1277268,0
1286943,1
1295508,0
1297327,0
1297522,0
1298360,0
1299924,0
1299994,0
1304595,0
1306282,1
1313325,1
1320077,0
1320304,0
1330439,1
333093,0
369565,0
412300,1
672113,1
749653,0
769612,0
807657,0
8233704,0
837480,1
867392,0
869828,0
1043068,0
1056171,0
1061990,0
1113061,0
1135090,0
1145420,0
1158157,0
1171578,0
1174841,0
1184586,0
1186936,0
1197527,0
1222464,1
1240603,0
1241035,1
1287971,0
1289391,0
1306339,0
1313658,0
1313982,0
1321264,0
1321321,0
1321348,0
1321931,0
1321942,0
1328331,0
1328755,0
1331405,0
1331412,1
1333104,0
1334071,0
1343068,1
1343374,1
1344121,1
142932,1
183936,0
324382,0
378275,1
690557,0
695091,0
695219,0
824249,0
871549,0
878358,1
1107684,1
1115762,0
1217717,0
1239420,0
1254538,1
1261751,0
1268275,1
1272166,0
1294261,1
1295529,1
1298484,1
1311875,0
1315506,1
1320141,0
1325309,0
1333063,0
1333495,0
1334659,0
1336798,0
1344449,0
1350568,0
1352663,1
188336,1
352431,1
353098,0
557583,1
636375,0
736150,1
803531,1
1016634,0
1031608,0
1041043,0
1042252,0
1057067,0
1073836,0
1083817,0
1096352,0
1140597,0
1149548,0
1174009,0
1183596,0
1190386,1
1190546,0
1213273,0
1218982,0
1225382,0
1235807,0
1253955,1
1257366,0
1260659,0
1268952,1
1275807,0
1277792,0
1285722,0
1288608,0
1290203,0
1294413,0
1303489,0
1311033,0
1311108,0
1315807,1
1318671,0
1319609,0
1323477,0
1324572,0
1324681,0
1325159,0
1326892,0
1330361,0
1333877,0
1334015,1
1334667,0
1339781,0
13454352,0
1345452,0
1345593,0
1347749,0
1347943,0
1348851,0
1350319,1
1350423,1
1352848,1
1353092,0
1354840,0
1355260,0
1365075,0
1365328,0
1368267,0
1368273,0
1368882,0
1369821,1
1371026,1
1371920,0
466906,0
534555,0
536708,0
566346,0
603148,0
654546,0
714039,0
763235,0
776715,0
841769,0
888820,1
897471,1
