sno,label
845,1
846,1
847,0
848,1
849,1
850,0
851,0
852,1
853,1
854,0
855,1
856,1
857,1
858,1
859,0
860,1
861,1
862,0
863,0
864,1
865,0
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,0
880,1
881,1
882,1
883,1
884,1
885,0
886,0
887,1
888,0
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,0
901,0
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,0
913,1
914,1
915,0
916,0
917,1
918,0
919,0
920,0
921,1
922,1
923,0
924,1
925,0
926,0
927,1
928,0
929,1
930,1
931,1
932,0
933,1
934,1
935,1
936,0
937,0
938,1
939,0
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,0
948,1
949,0
950,0
951,1
952,0
953,0
954,0
955,1
956,1
957,1
958,1
959,0
960,1
961,1
962,1
963,1
964,0
965,1
966,1
967,0
968,1
969,1
970,1
971,1
972,1
973,0
974,0
975,1
976,1
977,1
978,1
979,0
980,0
981,0
982,0
983,1
984,0
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,0
1000,1
